Brand,Name,Category,Price,Curl Pattern,Hair Type,Vegan?,"Weight (L,M,H)",Helpful Areas
Carol's Daughter,Black Vanilla Shampoo,Shampoo,9.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Medium, Thick",No,M,"Shine, Nourish"
Maui Moisture,Nourish & Moisture + Coconut Milk Shampoo,Shampoo,6.99,"2A, 2B, 2C, 3A","Thin, Medium",Yes,M,"Shine, Nourish"
Carol's Daughter,Black Vanilla Condtioner,Conditioner,9.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Medium, Thick",No,L,"Shine, Nourish"
Maui Moisture,Nourish & Moisture + Coconut Milk Conditioner,Conditioner,6.99,"2A, 2B, 2C, 3A","Thin, Medium",Yes,L,"Shine, Nourish"
Curls,Blueberry Bliss Reparative Leave In Conditioner,Leave-In,12.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Nourish, Repair"
Mielle,Pomegranate & Honey Leave-In Conditioner,Leave-In,11.70,"4A, 4B, 4C","Medium, Thick",No,M,"Shine, Nourish, "
Curlsmith,Bouncy Strength Volume Foam,Mousse/Foam,28.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,"Volume, Definition"
Marc Anthony,Strictly Curl Enhancing Styling Foam,Mousse/Foam,7.50,"2A, 2B, 2C, 3A, 3B, 3C, 4A","Thin, Medium, Thick",No,L,"Volume, Definition"
Miss Jessie's,Pillow Soft Curls Unisex Lotion,Curl Cream,17.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,Nourish
SheaMoisture,Curl Enhancing Smoothie,Curl Cream,12.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,M,"Nourish, Repar, Shine"
Aunt Jackie's,Flaxseed Recipes Don't Shrink Elongating Hair Curling Gel,Gel,7.50,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",No,H,"Lengthening, Definition"
Curlsmith,Hydro Style Flexi-Jelly,Gel,12.50,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,"Volume, Definition"
Not Your Mother's,Defining Cream,Curl Cream,10.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Definition, Shine, Nourish"
Not Your Mother's,Activating Mousse,Mousse/Foam,10.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,Definition
